ID,True Positive,False Positive,False Negative,Precision / PPV,Recall / Sensitivity,F1 Score
11005,0,2,0,0.0,1.0,0.0
11014,0,1,3,0.0,0.0,0.0
11041,257,303,2,0.46,0.99,0.63
11047,2,6,18,0.25,0.1,0.14
11062,1,5,25,0.17,0.04,0.06
11065,0,0,2,1.0,0.0,0.0
11074,2,8,5,0.2,0.29,0.24
11083,3,24,17,0.11,0.15,0.13
11085,0,28,4,0.0,0.0,0.0
11103,19,45,11,0.3,0.63,0.4
11109,0,6,3,0.0,0.0,0.0
12006,168,115,3,0.59,0.98,0.74
12014,3,24,12,0.11,0.2,0.14
13004,46,37,9,0.55,0.84,0.67
13008,64,19,11,0.77,0.85,0.81
13014,416,178,12,0.7,0.97,0.81
13016,0,8,0,0.0,1.0,0.0
13017,42,85,9,0.33,0.82,0.47
13002,0,32,0,0.0,1.0,0.0
11004,71,58,8,0.55,0.9,0.68
11068,0,4,2,0.0,0.0,0.0
12023,17,81,5,0.17,0.77,0.28
SUM,1111,1069,161,0.51,0.87,0.64
